titre,description
"Ukraine: Foreign Secretary's statement to Parliament, 28 March 2022",Foreign Secretary Liz Truss updated the House of Commons on the situation in Ukraine and on the NATO and G7 Leaders meetings in Brussels last week.
"Información para el concurso ""Embajadora por un Día"" 2022","En el marco del Día Internacional de la Mujer, la Embajadora Británica en Argentina, Kirsty Hayes, anunció el lanzamiento del programa “Embajadora por un Día”."
Consultation on setting an end date for the sale of new non-zero emission buses,Government seeks to make zero-emission buses the default choice for operators to transition to green transport sooner.
The United Kingdom remains committed to supporting Sudan's journey to democracy: UK at the UN Security Council,Statement by Ambassador James Kariuki at the UN Security Council briefing on Sudan and South Sudan
UK announces £5 million funding to expand the Met Office’s Weather and Climate Information Services activity in the MENA region,The UK has now committed £60 million over 5 years to tackle climate and biodiversity issues in the Middle East and North Africa.
PM call with President al-Sisi of Egypt: 28 March 2022,Prime Minister Boris Johnson spoke to Egyptian President Abdel Fattah al-Sisi this morning.
New fusion energy recruitment framework to boost economy and improve diversity,UKAEA's Project Delivery Services Framework  
New Board Members appointed to the Joint Nature Conservation Committee,Defra Ministers have made three appointments to the Board of the Joint Nature Conservation Committee (JNCC). 
Committee on the Peaceful Uses of Outer Space (COPUOS): UK statement at the 61st Legal Sub-committee,"Delivered by Corinne Kitsell OBE, Ambassador and UK Permanent Representative to IAEA and CTBTO, at the United Nations in Vienna, 28 March 2022."
"Career Insight: Jack, Legal Trainee, Government Legal Department",Jack provides an insight into his pupil barrister training within the Government Legal Department
"Career Insight: Jake, Legal Trainee, HM Revenue & Customs",Jake provides an insight into his pupil barrister training within HM Revenue & Customs Solicitor’s Office
Adult education budget: devolved grant determination letters 2022,Letters to devolved areas outlining adult education budget (AEB) and free courses for jobs (level 3 adult offer) funding for the 2022 to 2023 financial year.
More savers to benefit from new pension provision,Ideas on how Collective Defined Contribution pension schemes could be extended to more savers were explored with industry partners today by the Minister for Pensions.
April 2022: temporary insolvency measures are ending,The remaining temporary insolvency measures are being lifted and the insolvency regime is returning to its pre-pandemic operation.
"British Embassy Ashgabat hosts a COP26 follow-up conference, March 2022",British Embassy invites key partners to an online event to discuss COP26 achievements and enhance future cooperation on climate change projects.
New digital playbook to cut costs and support job growth,"The Digital, Data and Technology Playbook brings together expert advice on how to deliver better digital services."
Less than one week to go for MTD,Making Tax Digital will be mandatory for VAT-registered businesses from 1 April 2022. Businesses should sign up now and select their MTD compatible software.  
Revised: Financial health notice to improve: Moulton College,A notice to improve issued to Moulton College by the Education and Skills Funding Agency. 
Closed: Financial health notice to improve: Hadlow College,A financial health notice to improve issued to Hadlow College by the Education and Skills Funding Agency. 
Closed: Financial health notice to improve: West Kent and Ashford College,A financial health notice to improve issued to West Kent and Ashford College by the Education and Skills Funding Agency. 
